TimeStamp,Frequency,feeling_positive,feeling_negative,Class
0,30,21,9,1a.csv
0,26,18,8,1b.csv
0,14,12,2,1c.csv
0,21,16,5,1e.csv
0,38,32,6,1f.csv
0,17,15,2,1g.csv
0,20,14,6,1h.csv
0,12,11,1,1i.csv
0,14,13,1,1j.csv
0,16,15,1,1k.csv
0,16,13,3,1l.csv
0,15,11,4,1m.csv
0,7,3,4,2a.csv
0,0,0,0,2b.csv
0,4,3,1,2c.csv
0,1,0,1,2d.csv
0,4,4,0,2e.csv
0,0,0,0,2f.csv
0,1,1,0,2g.csv
0,1,1,0,2h.csv
0,3,3,0,2i.csv
0,1,1,0,2j.csv
0,5,2,3,2k.csv
0,11,2,9,2l.csv
0,28,19,9,3a.csv
0,41,33,8,3b.csv
0,16,13,3,3c.csv
0,16,13,3,3d.csv
0,12,9,3,3e.csv
0,14,10,4,3f.csv
0,6,5,1,3g.csv
1,33,23,10,1a.csv
1,28,20,8,1b.csv
1,15,13,2,1c.csv
1,21,16,5,1e.csv
1,45,37,8,1f.csv
1,18,15,3,1g.csv
1,21,14,7,1h.csv
1,12,11,1,1i.csv
1,17,16,1,1j.csv
1,18,16,2,1k.csv
1,17,14,3,1l.csv
1,15,11,4,1m.csv
1,10,5,5,2a.csv
1,1,0,1,2b.csv
1,5,4,1,2c.csv
1,1,0,1,2d.csv
1,4,4,0,2e.csv
1,0,0,0,2f.csv
1,1,1,0,2g.csv
1,1,1,0,2h.csv
1,3,3,0,2i.csv
1,1,1,0,2j.csv
1,7,2,5,2k.csv
1,13,2,11,2l.csv
1,34,25,9,3a.csv
1,46,38,8,3b.csv
1,17,14,3,3c.csv
1,17,14,3,3d.csv
1,12,9,3,3e.csv
1,15,11,4,3f.csv
1,10,7,3,3g.csv
2,38,28,10,1a.csv
2,28,20,8,1b.csv
2,15,13,2,1c.csv
2,21,16,5,1e.csv
2,54,46,8,1f.csv
2,18,15,3,1g.csv
2,21,14,7,1h.csv
2,13,12,1,1i.csv
2,17,16,1,1j.csv
2,18,16,2,1k.csv
2,19,16,3,1l.csv
2,15,11,4,1m.csv
2,10,5,5,2a.csv
2,1,0,1,2b.csv
2,6,4,2,2c.csv
2,1,0,1,2d.csv
2,4,4,0,2e.csv
2,0,0,0,2f.csv
2,1,1,0,2g.csv
2,1,1,0,2h.csv
2,3,3,0,2i.csv
2,1,1,0,2j.csv
2,10,4,6,2k.csv
2,17,5,12,2l.csv
2,37,27,10,3a.csv
2,57,47,10,3b.csv
2,18,15,3,3c.csv
2,18,15,3,3d.csv
2,12,9,3,3e.csv
2,18,14,4,3f.csv
2,12,7,5,3g.csv
3,44,33,11,1a.csv
3,28,20,8,1b.csv
3,16,14,2,1c.csv
3,21,16,5,1e.csv
3,64,54,10,1f.csv
3,18,15,3,1g.csv
3,21,14,7,1h.csv
3,13,12,1,1i.csv
3,17,16,1,1j.csv
3,20,17,3,1k.csv
3,21,18,3,1l.csv
3,16,12,4,1m.csv
3,11,5,6,2a.csv
3,1,0,1,2b.csv
3,6,4,2,2c.csv
3,1,0,1,2d.csv
3,4,4,0,2e.csv
3,0,0,0,2f.csv
3,1,1,0,2g.csv
3,1,1,0,2h.csv
3,3,3,0,2i.csv
3,1,1,0,2j.csv
3,11,5,6,2k.csv
3,19,5,14,2l.csv
3,48,34,14,3a.csv
3,60,49,11,3b.csv
3,24,21,3,3c.csv
3,24,21,3,3d.csv
3,14,10,4,3e.csv
3,21,15,6,3f.csv
3,13,8,5,3g.csv
4,35,25,10,1a.csv
4,17,10,7,1b.csv
4,5,4,1,1c.csv
4,2,1,1,1e.csv
4,60,49,11,1f.csv
4,5,3,2,1g.csv
4,7,5,2,1h.csv
4,3,3,0,1i.csv
4,9,9,0,1j.csv
4,5,3,2,1k.csv
4,16,13,3,1l.csv
4,2,2,0,1m.csv
4,10,7,3,2a.csv
4,1,0,1,2b.csv
4,6,5,1,2c.csv
4,2,0,2,2d.csv
4,2,2,0,2e.csv
4,1,1,0,2f.csv
4,0,0,0,2g.csv
4,1,1,0,2h.csv
4,1,1,0,2i.csv
4,0,0,0,2j.csv
4,14,7,7,2k.csv
4,20,5,15,2l.csv
4,54,37,17,3a.csv
4,63,51,12,3b.csv
4,25,21,4,3c.csv
4,25,21,4,3d.csv
4,14,10,4,3e.csv
4,12,8,4,3f.csv
4,13,8,5,3g.csv
5,36,26,10,1a.csv
5,9,5,4,1b.csv
5,6,5,1,1c.csv
5,2,1,1,1e.csv
5,67,54,13,1f.csv
5,5,3,2,1g.csv
5,7,5,2,1h.csv
5,4,3,1,1i.csv
5,9,9,0,1j.csv
5,5,3,2,1k.csv
5,15,13,2,1l.csv
5,2,2,0,1m.csv
5,10,7,3,2a.csv
5,1,0,1,2b.csv
5,5,4,1,2c.csv
5,2,0,2,2d.csv
5,2,2,0,2e.csv
5,1,1,0,2f.csv
5,0,0,0,2g.csv
5,0,0,0,2h.csv
5,0,0,0,2i.csv
5,0,0,0,2j.csv
5,15,7,8,2k.csv
5,19,5,14,2l.csv
5,56,37,19,3a.csv
5,56,47,9,3b.csv
5,21,19,2,3c.csv
5,21,19,2,3d.csv
5,15,10,5,3e.csv
5,13,8,5,3f.csv
5,11,7,4,3g.csv
6,36,26,10,1a.csv
6,10,6,4,1b.csv
6,6,5,1,1c.csv
6,0,0,0,1e.csv
6,64,53,11,1f.csv
6,5,3,2,1g.csv
6,5,3,2,1h.csv
6,3,2,1,1i.csv
6,9,9,0,1j.csv
6,4,2,2,1k.csv
6,13,11,2,1l.csv
6,3,3,0,1m.csv
6,13,8,5,2a.csv
6,1,0,1,2b.csv
6,5,4,1,2c.csv
6,1,0,1,2d.csv
6,1,1,0,2e.csv
6,1,1,0,2f.csv
6,0,0,0,2g.csv
6,0,0,0,2h.csv
6,0,0,0,2i.csv
6,0,0,0,2j.csv
6,15,6,9,2k.csv
6,22,6,16,2l.csv
6,59,37,22,3a.csv
6,57,48,9,3b.csv
6,19,17,2,3c.csv
6,19,17,2,3d.csv
6,14,10,4,3e.csv
6,14,9,5,3f.csv
6,9,5,4,3g.csv
7,35,26,9,1a.csv
7,8,5,3,1b.csv
7,7,5,2,1c.csv
7,0,0,0,1e.csv
7,64,55,9,1f.csv
7,4,3,1,1g.csv
7,4,3,1,1h.csv
7,3,2,1,1i.csv
7,5,5,0,1j.csv
7,4,2,2,1k.csv
7,8,7,1,1l.csv
7,3,3,0,1m.csv
7,14,9,5,2a.csv
7,1,0,1,2b.csv
7,4,2,2,2c.csv
7,1,0,1,2d.csv
7,1,1,0,2e.csv
7,2,2,0,2f.csv
7,1,1,0,2g.csv
7,0,0,0,2h.csv
7,0,0,0,2i.csv
7,0,0,0,2j.csv
7,18,10,8,2k.csv
7,20,6,14,2l.csv
7,65,43,22,3a.csv
7,59,50,9,3b.csv
7,25,22,3,3c.csv
7,25,22,3,3d.csv
7,14,11,3,3e.csv
7,18,13,5,3f.csv
7,8,4,4,3g.csv
8,35,29,6,1a.csv
8,4,4,0,1b.csv
8,5,4,1,1c.csv
8,0,0,0,1e.csv
8,56,48,8,1f.csv
8,2,1,1,1g.csv
8,3,2,1,1h.csv
8,2,1,1,1i.csv
8,3,3,0,1j.csv
8,5,3,2,1k.csv
8,6,6,0,1l.csv
8,3,3,0,1m.csv
8,13,9,4,2a.csv
8,1,0,1,2b.csv
8,6,2,4,2c.csv
8,2,0,2,2d.csv
8,1,1,0,2e.csv
8,2,2,0,2f.csv
8,1,1,0,2g.csv
8,0,0,0,2h.csv
8,0,0,0,2i.csv
8,0,0,0,2j.csv
8,17,9,8,2k.csv
8,26,11,15,2l.csv
8,66,47,19,3a.csv
8,58,51,7,3b.csv
8,28,23,5,3c.csv
8,28,23,5,3d.csv
8,13,10,3,3e.csv
8,19,15,4,3f.csv
8,7,3,4,3g.csv
9,36,29,7,1a.csv
9,2,2,0,1b.csv
9,5,4,1,1c.csv
9,0,0,0,1e.csv
9,53,45,8,1f.csv
9,2,2,0,1g.csv
9,3,3,0,1h.csv
9,2,1,1,1i.csv
9,0,0,0,1j.csv
9,3,2,1,1k.csv
9,6,6,0,1l.csv
9,5,5,0,1m.csv
9,11,8,3,2a.csv
9,0,0,0,2b.csv
9,6,2,4,2c.csv
9,2,0,2,2d.csv
9,1,1,0,2e.csv
9,2,2,0,2f.csv
9,1,1,0,2g.csv
9,0,0,0,2h.csv
9,0,0,0,2i.csv
9,0,0,0,2j.csv
9,16,9,7,2k.csv
9,27,14,13,2l.csv
9,75,50,25,3a.csv
9,62,54,8,3b.csv
9,29,24,5,3c.csv
9,29,24,5,3d.csv
9,15,12,3,3e.csv
9,19,14,5,3f.csv
9,5,3,2,3g.csv
10,33,24,9,1a.csv
10,2,2,0,1b.csv
10,6,5,1,1c.csv
10,0,0,0,1e.csv
10,50,42,8,1f.csv
10,2,2,0,1g.csv
10,3,3,0,1h.csv
10,1,0,1,1i.csv
10,0,0,0,1j.csv
10,3,2,1,1k.csv
10,4,4,0,1l.csv
10,5,5,0,1m.csv
10,11,8,3,2a.csv
10,0,0,0,2b.csv
10,5,2,3,2c.csv
10,3,0,3,2d.csv
10,1,1,0,2e.csv
10,2,2,0,2f.csv
10,1,1,0,2g.csv
10,1,1,0,2h.csv
10,0,0,0,2i.csv
10,1,1,0,2j.csv
10,15,7,8,2k.csv
10,25,12,13,2l.csv
10,81,55,26,3a.csv
10,57,49,8,3b.csv
10,29,24,5,3c.csv
10,29,24,5,3d.csv
10,17,14,3,3e.csv
10,18,12,6,3f.csv
10,5,5,0,3g.csv
11,28,19,9,1a.csv
11,2,2,0,1b.csv
11,5,4,1,1c.csv
11,0,0,0,1e.csv
11,41,35,6,1f.csv
11,2,2,0,1g.csv
11,4,4,0,1h.csv
11,1,0,1,1i.csv
11,0,0,0,1j.csv
11,1,1,0,1k.csv
11,6,3,3,1l.csv
11,4,4,0,1m.csv
11,12,10,2,2a.csv
11,0,0,0,2b.csv
11,5,2,3,2c.csv
11,3,0,3,2d.csv
11,1,1,0,2e.csv
11,2,2,0,2f.csv
11,1,1,0,2g.csv
11,1,1,0,2h.csv
11,0,0,0,2i.csv
11,1,1,0,2j.csv
11,15,7,8,2k.csv
11,24,13,11,2l.csv
11,80,54,26,3a.csv
11,59,52,7,3b.csv
11,26,19,7,3c.csv
11,26,19,7,3d.csv
11,16,14,2,3e.csv
11,17,12,5,3f.csv
11,4,4,0,3g.csv
12,29,20,9,1a.csv
12,3,2,1,1b.csv
12,5,4,1,1c.csv
12,0,0,0,1e.csv
12,35,30,5,1f.csv
12,3,3,0,1g.csv
12,4,4,0,1h.csv
12,1,0,1,1i.csv
12,0,0,0,1j.csv
12,1,1,0,1k.csv
12,7,4,3,1l.csv
12,3,3,0,1m.csv
12,10,8,2,2a.csv
12,0,0,0,2b.csv
12,9,3,6,2c.csv
12,2,0,2,2d.csv
12,1,1,0,2e.csv
12,1,1,0,2f.csv
12,1,1,0,2g.csv
12,1,1,0,2h.csv
12,0,0,0,2i.csv
12,1,1,0,2j.csv
12,12,5,7,2k.csv
12,24,14,10,2l.csv
12,79,55,24,3a.csv
12,59,52,7,3b.csv
12,26,19,7,3c.csv
12,26,19,7,3d.csv
12,13,12,1,3e.csv
12,18,12,6,3f.csv
12,4,4,0,3g.csv
13,27,18,9,1a.csv
13,3,2,1,1b.csv
13,4,3,1,1c.csv
13,0,0,0,1e.csv
13,25,22,3,1f.csv
13,3,3,0,1g.csv
13,3,3,0,1h.csv
13,0,0,0,1i.csv
13,0,0,0,1j.csv
13,2,2,0,1k.csv
13,7,4,3,1l.csv
13,3,3,0,1m.csv
13,10,8,2,2a.csv
13,0,0,0,2b.csv
13,9,3,6,2c.csv
13,2,0,2,2d.csv
13,1,1,0,2e.csv
13,1,1,0,2f.csv
13,1,1,0,2g.csv
13,1,1,0,2h.csv
13,0,0,0,2i.csv
13,1,1,0,2j.csv
13,11,5,6,2k.csv
13,23,13,10,2l.csv
13,74,52,22,3a.csv
13,65,56,9,3b.csv
13,28,20,8,3c.csv
13,28,20,8,3d.csv
13,13,13,0,3e.csv
13,17,12,5,3f.csv
13,4,4,0,3g.csv
14,25,16,9,1a.csv
14,1,0,1,1b.csv
14,4,3,1,1c.csv
14,0,0,0,1e.csv
14,24,21,3,1f.csv
14,4,4,0,1g.csv
14,2,2,0,1h.csv
14,0,0,0,1i.csv
14,0,0,0,1j.csv
14,3,3,0,1k.csv
14,7,4,3,1l.csv
14,2,2,0,1m.csv
14,8,8,0,2a.csv
14,0,0,0,2b.csv
14,10,3,7,2c.csv
14,2,0,2,2d.csv
14,1,1,0,2e.csv
14,1,1,0,2f.csv
14,1,1,0,2g.csv
14,1,1,0,2h.csv
14,0,0,0,2i.csv
14,1,1,0,2j.csv
14,9,5,4,2k.csv
14,20,13,7,2l.csv
14,76,57,19,3a.csv
14,65,55,10,3b.csv
14,28,20,8,3c.csv
14,28,20,8,3d.csv
14,12,11,1,3e.csv
14,22,17,5,3f.csv
14,6,6,0,3g.csv
15,26,16,10,1a.csv
15,2,1,1,1b.csv
15,3,2,1,1c.csv
15,0,0,0,1e.csv
15,22,18,4,1f.csv
15,3,3,0,1g.csv
15,2,2,0,1h.csv
15,0,0,0,1i.csv
15,0,0,0,1j.csv
15,3,3,0,1k.csv
15,8,5,3,1l.csv
15,2,2,0,1m.csv
15,9,9,0,2a.csv
15,1,1,0,2b.csv
15,9,3,6,2c.csv
15,2,0,2,2d.csv
15,0,0,0,2e.csv
15,0,0,0,2f.csv
15,0,0,0,2g.csv
15,1,1,0,2h.csv
15,0,0,0,2i.csv
15,1,1,0,2j.csv
15,5,1,4,2k.csv
15,19,13,6,2l.csv
15,78,57,21,3a.csv
15,63,52,11,3b.csv
15,24,16,8,3c.csv
15,24,16,8,3d.csv
15,13,12,1,3e.csv
15,16,12,4,3f.csv
15,8,7,1,3g.csv
16,26,14,12,1a.csv
16,3,2,1,1b.csv
16,3,2,1,1c.csv
16,0,0,0,1e.csv
16,23,19,4,1f.csv
16,3,3,0,1g.csv
16,2,2,0,1h.csv
16,0,0,0,1i.csv
16,0,0,0,1j.csv
16,2,2,0,1k.csv
16,8,5,3,1l.csv
16,2,2,0,1m.csv
16,10,9,1,2a.csv
16,1,1,0,2b.csv
16,9,3,6,2c.csv
16,2,1,1,2d.csv
16,0,0,0,2e.csv
16,1,1,0,2f.csv
16,0,0,0,2g.csv
16,1,1,0,2h.csv
16,0,0,0,2i.csv
16,1,1,0,2j.csv
16,5,1,4,2k.csv
16,11,8,3,2l.csv
16,79,59,20,3a.csv
16,61,50,11,3b.csv
16,21,15,6,3c.csv
16,21,15,6,3d.csv
16,13,11,2,3e.csv
16,19,13,6,3f.csv
16,8,7,1,3g.csv
17,27,15,12,1a.csv
17,3,2,1,1b.csv
17,2,1,1,1c.csv
17,0,0,0,1e.csv
17,22,19,3,1f.csv
17,2,2,0,1g.csv
17,2,2,0,1h.csv
17,0,0,0,1i.csv
17,0,0,0,1j.csv
17,2,2,0,1k.csv
17,9,5,4,1l.csv
17,0,0,0,1m.csv
17,9,8,1,2a.csv
17,1,1,0,2b.csv
17,8,2,6,2c.csv
17,2,1,1,2d.csv
17,0,0,0,2e.csv
17,1,1,0,2f.csv
17,0,0,0,2g.csv
17,1,1,0,2h.csv
17,0,0,0,2i.csv
17,1,1,0,2j.csv
17,4,1,3,2k.csv
17,10,5,5,2l.csv
17,74,59,15,3a.csv
17,60,50,10,3b.csv
17,21,15,6,3c.csv
17,21,15,6,3d.csv
17,12,10,2,3e.csv
17,22,17,5,3f.csv
17,6,5,1,3g.csv
18,29,17,12,1a.csv
18,4,3,1,1b.csv
18,2,1,1,1c.csv
18,0,0,0,1e.csv
18,17,14,3,1f.csv
18,2,2,0,1g.csv
18,2,2,0,1h.csv
18,0,0,0,1i.csv
18,0,0,0,1j.csv
18,2,2,0,1k.csv
18,9,5,4,1l.csv
18,1,0,1,1m.csv
18,12,11,1,2a.csv
18,1,1,0,2b.csv
18,9,2,7,2c.csv
18,2,2,0,2d.csv
18,0,0,0,2e.csv
18,1,1,0,2f.csv
18,0,0,0,2g.csv
18,0,0,0,2h.csv
18,0,0,0,2i.csv
18,1,1,0,2j.csv
18,2,1,1,2k.csv
18,9,4,5,2l.csv
18,71,58,13,3a.csv
18,57,49,8,3b.csv
18,22,14,8,3c.csv
18,22,14,8,3d.csv
18,10,8,2,3e.csv
18,21,17,4,3f.csv
18,6,5,1,3g.csv
19,33,21,12,1a.csv
19,8,5,3,1b.csv
19,3,2,1,1c.csv
19,1,0,1,1e.csv
19,19,15,4,1f.csv
19,2,2,0,1g.csv
19,1,1,0,1h.csv
19,0,0,0,1i.csv
19,0,0,0,1j.csv
19,2,2,0,1k.csv
19,8,7,1,1l.csv
19,1,0,1,1m.csv
19,10,9,1,2a.csv
19,1,1,0,2b.csv
19,9,2,7,2c.csv
19,3,3,0,2d.csv
19,0,0,0,2e.csv
19,1,1,0,2f.csv
19,0,0,0,2g.csv
19,0,0,0,2h.csv
19,0,0,0,2i.csv
19,1,1,0,2j.csv
19,1,0,1,2k.csv
19,8,3,5,2l.csv
19,68,57,11,3a.csv
19,60,49,11,3b.csv
19,19,13,6,3c.csv
19,19,13,6,3d.csv
19,11,8,3,3e.csv
19,20,16,4,3f.csv
19,6,5,1,3g.csv
20,34,22,12,1a.csv
20,9,7,2,1b.csv
20,5,4,1,1c.csv
20,1,0,1,1e.csv
20,17,13,4,1f.csv
20,1,1,0,1g.csv
20,1,1,0,1h.csv
20,0,0,0,1i.csv
20,1,0,1,1j.csv
20,2,2,0,1k.csv
20,9,7,2,1l.csv
20,1,0,1,1m.csv
20,11,9,2,2a.csv
20,1,1,0,2b.csv
20,5,1,4,2c.csv
20,3,3,0,2d.csv
20,0,0,0,2e.csv
20,2,2,0,2f.csv
20,0,0,0,2g.csv
20,0,0,0,2h.csv
20,0,0,0,2i.csv
20,2,1,1,2j.csv
20,1,0,1,2k.csv
20,8,2,6,2l.csv
20,64,55,9,3a.csv
20,54,44,10,3b.csv
20,17,11,6,3c.csv
20,17,11,6,3d.csv
20,12,9,3,3e.csv
20,23,20,3,3f.csv
20,6,5,1,3g.csv
21,36,24,12,1a.csv
21,21,18,3,1b.csv
21,5,4,1,1c.csv
21,1,0,1,1e.csv
21,17,13,4,1f.csv
21,2,2,0,1g.csv
21,2,2,0,1h.csv
21,1,1,0,1i.csv
21,1,0,1,1j.csv
21,1,1,0,1k.csv
21,11,9,2,1l.csv
21,1,0,1,1m.csv
21,11,9,2,2a.csv
21,1,1,0,2b.csv
21,5,1,4,2c.csv
21,4,4,0,2d.csv
21,0,0,0,2e.csv
21,2,2,0,2f.csv
21,0,0,0,2g.csv
21,0,0,0,2h.csv
21,0,0,0,2i.csv
21,2,1,1,2j.csv
21,1,1,0,2k.csv
21,9,3,6,2l.csv
21,65,54,11,3a.csv
21,49,40,9,3b.csv
21,15,10,5,3c.csv
21,15,10,5,3d.csv
21,11,7,4,3e.csv
21,25,22,3,3f.csv
21,7,6,1,3g.csv
22,35,24,11,1a.csv
22,29,26,3,1b.csv
22,5,4,1,1c.csv
22,1,0,1,1e.csv
22,14,10,4,1f.csv
22,1,1,0,1g.csv
22,2,2,0,1h.csv
22,1,1,0,1i.csv
22,1,0,1,1j.csv
22,0,0,0,1k.csv
22,12,10,2,1l.csv
22,1,0,1,1m.csv
22,11,9,2,2a.csv
22,1,1,0,2b.csv
22,6,2,4,2c.csv
22,4,4,0,2d.csv
22,1,0,1,2e.csv
22,2,2,0,2f.csv
22,0,0,0,2g.csv
22,0,0,0,2h.csv
22,0,0,0,2i.csv
22,3,2,1,2j.csv
22,1,1,0,2k.csv
22,10,4,6,2l.csv
22,59,49,10,3a.csv
22,45,38,7,3b.csv
22,12,8,4,3c.csv
22,12,8,4,3d.csv
22,11,8,3,3e.csv
22,22,19,3,3f.csv
22,7,4,3,3g.csv
23,40,28,12,1a.csv
23,32,29,3,1b.csv
23,5,5,0,1c.csv
23,1,0,1,1e.csv
23,14,11,3,1f.csv
23,1,1,0,1g.csv
23,4,4,0,1h.csv
23,1,1,0,1i.csv
23,2,1,1,1j.csv
23,0,0,0,1k.csv
23,11,9,2,1l.csv
23,1,0,1,1m.csv
23,9,7,2,2a.csv
23,0,0,0,2b.csv
23,6,2,4,2c.csv
23,5,5,0,2d.csv
23,1,0,1,2e.csv
23,2,2,0,2f.csv
23,0,0,0,2g.csv
23,0,0,0,2h.csv
23,0,0,0,2i.csv
23,3,2,1,2j.csv
23,1,1,0,2k.csv
23,12,6,6,2l.csv
23,55,47,8,3a.csv
23,40,34,6,3b.csv
23,11,8,3,3c.csv
23,11,8,3,3d.csv
23,10,7,3,3e.csv
23,22,19,3,3f.csv
23,5,3,2,3g.csv
24,39,29,10,1a.csv
24,36,32,4,1b.csv
24,6,6,0,1c.csv
24,1,0,1,1e.csv
24,9,7,2,1f.csv
24,1,1,0,1g.csv
24,4,4,0,1h.csv
24,1,1,0,1i.csv
24,2,1,1,1j.csv
24,0,0,0,1k.csv
24,11,9,2,1l.csv
24,2,1,1,1m.csv
24,11,10,1,2a.csv
24,0,0,0,2b.csv
24,4,2,2,2c.csv
24,4,4,0,2d.csv
24,2,0,2,2e.csv
24,1,1,0,2f.csv
24,0,0,0,2g.csv
24,0,0,0,2h.csv
24,0,0,0,2i.csv
24,3,2,1,2j.csv
24,1,1,0,2k.csv
24,12,6,6,2l.csv
24,52,43,9,3a.csv
24,39,34,5,3b.csv
24,11,7,4,3c.csv
24,11,7,4,3d.csv
24,8,6,2,3e.csv
24,20,19,1,3f.csv
24,5,3,2,3g.csv
25,34,26,8,1a.csv
25,44,40,4,1b.csv
25,6,6,0,1c.csv
25,1,0,1,1e.csv
25,6,5,1,1f.csv
25,1,1,0,1g.csv
25,4,4,0,1h.csv
25,1,1,0,1i.csv
25,2,1,1,1j.csv
25,0,0,0,1k.csv
25,12,11,1,1l.csv
25,2,1,1,1m.csv
25,12,11,1,2a.csv
25,0,0,0,2b.csv
25,5,3,2,2c.csv
25,4,4,0,2d.csv
25,2,0,2,2e.csv
25,1,1,0,2f.csv
25,0,0,0,2g.csv
25,0,0,0,2h.csv
25,0,0,0,2i.csv
25,3,2,1,2j.csv
25,1,1,0,2k.csv
25,14,9,5,2l.csv
25,47,37,10,3a.csv
25,33,27,6,3b.csv
25,11,7,4,3c.csv
25,11,7,4,3d.csv
25,10,8,2,3e.csv
25,19,17,2,3f.csv
25,5,3,2,3g.csv
26,32,26,6,1a.csv
26,48,43,5,1b.csv
26,5,5,0,1c.csv
26,1,0,1,1e.csv
26,5,4,1,1f.csv
26,1,1,0,1g.csv
26,4,4,0,1h.csv
26,1,1,0,1i.csv
26,2,1,1,1j.csv
26,0,0,0,1k.csv
26,13,12,1,1l.csv
26,1,1,0,1m.csv
26,10,9,1,2a.csv
26,0,0,0,2b.csv
26,4,3,1,2c.csv
26,5,4,1,2d.csv
26,2,0,2,2e.csv
26,1,1,0,2f.csv
26,0,0,0,2g.csv
26,0,0,0,2h.csv
26,0,0,0,2i.csv
26,3,2,1,2j.csv
26,1,1,0,2k.csv
26,14,9,5,2l.csv
26,51,41,10,3a.csv
26,31,25,6,3b.csv
26,11,8,3,3c.csv
26,11,8,3,3d.csv
26,12,8,4,3e.csv
26,21,18,3,3f.csv
26,4,2,2,3g.csv
27,29,24,5,1a.csv
27,50,44,6,1b.csv
27,4,4,0,1c.csv
27,0,0,0,1e.csv
27,2,2,0,1f.csv
27,1,1,0,1g.csv
27,5,5,0,1h.csv
27,1,1,0,1i.csv
27,2,1,1,1j.csv
27,0,0,0,1k.csv
27,12,11,1,1l.csv
27,1,1,0,1m.csv
27,12,10,2,2a.csv
27,0,0,0,2b.csv
27,4,3,1,2c.csv
27,7,6,1,2d.csv
27,3,0,3,2e.csv
27,1,1,0,2f.csv
27,0,0,0,2g.csv
27,0,0,0,2h.csv
27,0,0,0,2i.csv
27,3,2,1,2j.csv
27,2,1,1,2k.csv
27,16,9,7,2l.csv
27,49,40,9,3a.csv
27,25,21,4,3b.csv
27,14,11,3,3c.csv
27,14,11,3,3d.csv
27,10,7,3,3e.csv
27,22,20,2,3f.csv
27,6,3,3,3g.csv
28,31,27,4,1a.csv
28,57,48,9,1b.csv
28,4,4,0,1c.csv
28,0,0,0,1e.csv
28,2,2,0,1f.csv
28,1,1,0,1g.csv
28,5,5,0,1h.csv
28,1,1,0,1i.csv
28,1,1,0,1j.csv
28,0,0,0,1k.csv
28,9,9,0,1l.csv
28,3,3,0,1m.csv
28,10,9,1,2a.csv
28,0,0,0,2b.csv
28,3,2,1,2c.csv
28,7,6,1,2d.csv
28,4,1,3,2e.csv
28,0,0,0,2f.csv
28,0,0,0,2g.csv
28,0,0,0,2h.csv
28,0,0,0,2i.csv
28,2,2,0,2j.csv
28,2,1,1,2k.csv
28,16,10,6,2l.csv
28,52,40,12,3a.csv
28,26,22,4,3b.csv
28,14,12,2,3c.csv
28,14,12,2,3d.csv
28,10,6,4,3e.csv
28,20,16,4,3f.csv
28,6,3,3,3g.csv
29,30,26,4,1a.csv
29,47,39,8,1b.csv
29,4,4,0,1c.csv
29,0,0,0,1e.csv
29,2,2,0,1f.csv
29,0,0,0,1g.csv
29,4,4,0,1h.csv
29,0,0,0,1i.csv
29,1,1,0,1j.csv
29,0,0,0,1k.csv
29,8,8,0,1l.csv
29,3,3,0,1m.csv
29,10,9,1,2a.csv
29,0,0,0,2b.csv
29,3,2,1,2c.csv
29,7,6,1,2d.csv
29,5,2,3,2e.csv
29,0,0,0,2f.csv
29,0,0,0,2g.csv
29,0,0,0,2h.csv
29,0,0,0,2i.csv
29,2,2,0,2j.csv
29,1,0,1,2k.csv
29,14,9,5,2l.csv
29,51,39,12,3a.csv
29,26,22,4,3b.csv
29,13,11,2,3c.csv
29,13,11,2,3d.csv
29,10,6,4,3e.csv
29,18,14,4,3f.csv
29,6,3,3,3g.csv
30,34,28,6,1a.csv
30,40,31,9,1b.csv
30,4,4,0,1c.csv
30,0,0,0,1e.csv
30,2,2,0,1f.csv
30,1,1,0,1g.csv
30,5,4,1,1h.csv
30,0,0,0,1i.csv
30,1,1,0,1j.csv
30,0,0,0,1k.csv
30,8,8,0,1l.csv
30,3,3,0,1m.csv
30,9,8,1,2a.csv
30,0,0,0,2b.csv
30,1,1,0,2c.csv
30,7,6,1,2d.csv
30,4,2,2,2e.csv
30,0,0,0,2f.csv
30,0,0,0,2g.csv
30,0,0,0,2h.csv
30,0,0,0,2i.csv
30,1,1,0,2j.csv
30,1,0,1,2k.csv
30,13,8,5,2l.csv
30,54,41,13,3a.csv
30,24,20,4,3b.csv
30,12,10,2,3c.csv
30,12,10,2,3d.csv
30,9,5,4,3e.csv
30,15,11,4,3f.csv
30,5,4,1,3g.csv
31,32,26,6,1a.csv
31,40,30,10,1b.csv
31,3,3,0,1c.csv
31,0,0,0,1e.csv
31,0,0,0,1f.csv
31,1,1,0,1g.csv
31,3,2,1,1h.csv
31,0,0,0,1i.csv
31,0,0,0,1j.csv
31,1,1,0,1k.csv
