TimeStamp,Frequency,feeling_positive,feeling_negative,Class
0,30,21,9,Reader_1_1.csv
0,16,15,1,Reader_1_10.csv
0,16,13,3,Reader_1_11.csv
0,15,11,4,Reader_1_12.csv
0,26,18,8,Reader_1_2.csv
0,14,12,2,Reader_1_3.csv
0,21,16,5,Reader_1_4.csv
0,38,32,6,Reader_1_5.csv
0,17,15,2,Reader_1_6.csv
0,20,14,6,Reader_1_7.csv
0,12,11,1,Reader_1_8.csv
0,14,13,1,Reader_1_9.csv
0,7,3,4,Reader_2_1.csv
0,1,1,0,Reader_2_10.csv
0,5,2,3,Reader_2_11.csv
0,11,2,9,Reader_2_12.csv
0,0,0,0,Reader_2_2.csv
0,4,3,1,Reader_2_3.csv
0,1,0,1,Reader_2_4.csv
0,4,4,0,Reader_2_5.csv
0,0,0,0,Reader_2_6.csv
0,1,1,0,Reader_2_7.csv
0,1,1,0,Reader_2_8.csv
0,3,3,0,Reader_2_9.csv
0,28,19,9,reader_3_1.csv
0,41,33,8,Reader_3_2.csv
0,16,13,3,Reader_3_3.csv
0,16,13,3,Reader_3_4.csv
0,12,9,3,Reader_3_5.csv
0,14,10,4,Reader_3_6.csv
0,6,5,1,Reader_3_7.csv
1,33,23,10,Reader_1_1.csv
1,18,16,2,Reader_1_10.csv
1,17,14,3,Reader_1_11.csv
1,15,11,4,Reader_1_12.csv
1,28,20,8,Reader_1_2.csv
1,15,13,2,Reader_1_3.csv
1,21,16,5,Reader_1_4.csv
1,45,37,8,Reader_1_5.csv
1,18,15,3,Reader_1_6.csv
1,21,14,7,Reader_1_7.csv
1,12,11,1,Reader_1_8.csv
1,17,16,1,Reader_1_9.csv
1,10,5,5,Reader_2_1.csv
1,1,1,0,Reader_2_10.csv
1,7,2,5,Reader_2_11.csv
1,13,2,11,Reader_2_12.csv
1,1,0,1,Reader_2_2.csv
1,5,4,1,Reader_2_3.csv
1,1,0,1,Reader_2_4.csv
1,4,4,0,Reader_2_5.csv
1,0,0,0,Reader_2_6.csv
1,1,1,0,Reader_2_7.csv
1,1,1,0,Reader_2_8.csv
1,3,3,0,Reader_2_9.csv
1,34,25,9,reader_3_1.csv
1,46,38,8,Reader_3_2.csv
1,17,14,3,Reader_3_3.csv
1,17,14,3,Reader_3_4.csv
1,12,9,3,Reader_3_5.csv
1,15,11,4,Reader_3_6.csv
1,10,7,3,Reader_3_7.csv
2,38,28,10,Reader_1_1.csv
2,18,16,2,Reader_1_10.csv
2,19,16,3,Reader_1_11.csv
2,15,11,4,Reader_1_12.csv
2,28,20,8,Reader_1_2.csv
2,15,13,2,Reader_1_3.csv
2,21,16,5,Reader_1_4.csv
2,54,46,8,Reader_1_5.csv
2,18,15,3,Reader_1_6.csv
2,21,14,7,Reader_1_7.csv
2,13,12,1,Reader_1_8.csv
2,17,16,1,Reader_1_9.csv
2,10,5,5,Reader_2_1.csv
2,1,1,0,Reader_2_10.csv
2,10,4,6,Reader_2_11.csv
2,17,5,12,Reader_2_12.csv
2,1,0,1,Reader_2_2.csv
2,6,4,2,Reader_2_3.csv
2,1,0,1,Reader_2_4.csv
2,4,4,0,Reader_2_5.csv
2,0,0,0,Reader_2_6.csv
2,1,1,0,Reader_2_7.csv
2,1,1,0,Reader_2_8.csv
2,3,3,0,Reader_2_9.csv
2,37,27,10,reader_3_1.csv
2,57,47,10,Reader_3_2.csv
2,18,15,3,Reader_3_3.csv
2,18,15,3,Reader_3_4.csv
2,12,9,3,Reader_3_5.csv
2,18,14,4,Reader_3_6.csv
2,12,7,5,Reader_3_7.csv
3,44,33,11,Reader_1_1.csv
3,20,17,3,Reader_1_10.csv
3,21,18,3,Reader_1_11.csv
3,16,12,4,Reader_1_12.csv
3,28,20,8,Reader_1_2.csv
3,16,14,2,Reader_1_3.csv
3,21,16,5,Reader_1_4.csv
3,64,54,10,Reader_1_5.csv
3,18,15,3,Reader_1_6.csv
3,21,14,7,Reader_1_7.csv
3,13,12,1,Reader_1_8.csv
3,17,16,1,Reader_1_9.csv
3,11,5,6,Reader_2_1.csv
3,1,1,0,Reader_2_10.csv
3,11,5,6,Reader_2_11.csv
3,19,5,14,Reader_2_12.csv
3,1,0,1,Reader_2_2.csv
3,6,4,2,Reader_2_3.csv
3,1,0,1,Reader_2_4.csv
3,4,4,0,Reader_2_5.csv
3,0,0,0,Reader_2_6.csv
3,1,1,0,Reader_2_7.csv
3,1,1,0,Reader_2_8.csv
3,3,3,0,Reader_2_9.csv
3,48,34,14,reader_3_1.csv
3,60,49,11,Reader_3_2.csv
3,24,21,3,Reader_3_3.csv
3,24,21,3,Reader_3_4.csv
3,14,10,4,Reader_3_5.csv
3,21,15,6,Reader_3_6.csv
3,13,8,5,Reader_3_7.csv
4,35,25,10,Reader_1_1.csv
4,5,3,2,Reader_1_10.csv
4,16,13,3,Reader_1_11.csv
4,2,2,0,Reader_1_12.csv
4,17,10,7,Reader_1_2.csv
4,5,4,1,Reader_1_3.csv
4,2,1,1,Reader_1_4.csv
4,60,49,11,Reader_1_5.csv
4,5,3,2,Reader_1_6.csv
4,7,5,2,Reader_1_7.csv
4,3,3,0,Reader_1_8.csv
4,9,9,0,Reader_1_9.csv
4,10,7,3,Reader_2_1.csv
4,0,0,0,Reader_2_10.csv
4,14,7,7,Reader_2_11.csv
4,20,5,15,Reader_2_12.csv
4,1,0,1,Reader_2_2.csv
4,6,5,1,Reader_2_3.csv
4,2,0,2,Reader_2_4.csv
4,2,2,0,Reader_2_5.csv
4,1,1,0,Reader_2_6.csv
4,0,0,0,Reader_2_7.csv
4,1,1,0,Reader_2_8.csv
4,1,1,0,Reader_2_9.csv
4,54,37,17,reader_3_1.csv
4,63,51,12,Reader_3_2.csv
4,25,21,4,Reader_3_3.csv
4,25,21,4,Reader_3_4.csv
4,14,10,4,Reader_3_5.csv
4,12,8,4,Reader_3_6.csv
4,13,8,5,Reader_3_7.csv
5,36,26,10,Reader_1_1.csv
5,5,3,2,Reader_1_10.csv
5,15,13,2,Reader_1_11.csv
5,2,2,0,Reader_1_12.csv
5,9,5,4,Reader_1_2.csv
5,6,5,1,Reader_1_3.csv
5,2,1,1,Reader_1_4.csv
5,67,54,13,Reader_1_5.csv
5,5,3,2,Reader_1_6.csv
5,7,5,2,Reader_1_7.csv
5,4,3,1,Reader_1_8.csv
5,9,9,0,Reader_1_9.csv
5,10,7,3,Reader_2_1.csv
5,0,0,0,Reader_2_10.csv
5,15,7,8,Reader_2_11.csv
5,19,5,14,Reader_2_12.csv
5,1,0,1,Reader_2_2.csv
5,5,4,1,Reader_2_3.csv
5,2,0,2,Reader_2_4.csv
5,2,2,0,Reader_2_5.csv
5,1,1,0,Reader_2_6.csv
5,0,0,0,Reader_2_7.csv
5,0,0,0,Reader_2_8.csv
5,0,0,0,Reader_2_9.csv
5,56,37,19,reader_3_1.csv
5,56,47,9,Reader_3_2.csv
5,21,19,2,Reader_3_3.csv
5,21,19,2,Reader_3_4.csv
5,15,10,5,Reader_3_5.csv
5,13,8,5,Reader_3_6.csv
5,11,7,4,Reader_3_7.csv
6,36,26,10,Reader_1_1.csv
6,4,2,2,Reader_1_10.csv
6,13,11,2,Reader_1_11.csv
6,3,3,0,Reader_1_12.csv
6,10,6,4,Reader_1_2.csv
6,6,5,1,Reader_1_3.csv
6,0,0,0,Reader_1_4.csv
6,64,53,11,Reader_1_5.csv
6,5,3,2,Reader_1_6.csv
6,5,3,2,Reader_1_7.csv
6,3,2,1,Reader_1_8.csv
6,9,9,0,Reader_1_9.csv
6,13,8,5,Reader_2_1.csv
6,0,0,0,Reader_2_10.csv
6,15,6,9,Reader_2_11.csv
6,22,6,16,Reader_2_12.csv
6,1,0,1,Reader_2_2.csv
6,5,4,1,Reader_2_3.csv
6,1,0,1,Reader_2_4.csv
6,1,1,0,Reader_2_5.csv
6,1,1,0,Reader_2_6.csv
6,0,0,0,Reader_2_7.csv
6,0,0,0,Reader_2_8.csv
6,0,0,0,Reader_2_9.csv
6,59,37,22,reader_3_1.csv
6,57,48,9,Reader_3_2.csv
6,19,17,2,Reader_3_3.csv
6,19,17,2,Reader_3_4.csv
6,14,10,4,Reader_3_5.csv
6,14,9,5,Reader_3_6.csv
6,9,5,4,Reader_3_7.csv
7,35,26,9,Reader_1_1.csv
7,4,2,2,Reader_1_10.csv
7,8,7,1,Reader_1_11.csv
7,3,3,0,Reader_1_12.csv
7,8,5,3,Reader_1_2.csv
7,7,5,2,Reader_1_3.csv
7,0,0,0,Reader_1_4.csv
7,64,55,9,Reader_1_5.csv
7,4,3,1,Reader_1_6.csv
7,4,3,1,Reader_1_7.csv
7,3,2,1,Reader_1_8.csv
7,5,5,0,Reader_1_9.csv
7,14,9,5,Reader_2_1.csv
7,0,0,0,Reader_2_10.csv
7,18,10,8,Reader_2_11.csv
7,20,6,14,Reader_2_12.csv
7,1,0,1,Reader_2_2.csv
7,4,2,2,Reader_2_3.csv
7,1,0,1,Reader_2_4.csv
7,1,1,0,Reader_2_5.csv
7,2,2,0,Reader_2_6.csv
7,1,1,0,Reader_2_7.csv
7,0,0,0,Reader_2_8.csv
7,0,0,0,Reader_2_9.csv
7,65,43,22,reader_3_1.csv
7,59,50,9,Reader_3_2.csv
7,25,22,3,Reader_3_3.csv
7,25,22,3,Reader_3_4.csv
7,14,11,3,Reader_3_5.csv
7,18,13,5,Reader_3_6.csv
7,8,4,4,Reader_3_7.csv
8,35,29,6,Reader_1_1.csv
8,5,3,2,Reader_1_10.csv
8,6,6,0,Reader_1_11.csv
8,3,3,0,Reader_1_12.csv
8,4,4,0,Reader_1_2.csv
8,5,4,1,Reader_1_3.csv
8,0,0,0,Reader_1_4.csv
8,56,48,8,Reader_1_5.csv
8,2,1,1,Reader_1_6.csv
8,3,2,1,Reader_1_7.csv
8,2,1,1,Reader_1_8.csv
8,3,3,0,Reader_1_9.csv
8,13,9,4,Reader_2_1.csv
8,0,0,0,Reader_2_10.csv
8,17,9,8,Reader_2_11.csv
8,26,11,15,Reader_2_12.csv
8,1,0,1,Reader_2_2.csv
8,6,2,4,Reader_2_3.csv
8,2,0,2,Reader_2_4.csv
8,1,1,0,Reader_2_5.csv
8,2,2,0,Reader_2_6.csv
8,1,1,0,Reader_2_7.csv
8,0,0,0,Reader_2_8.csv
8,0,0,0,Reader_2_9.csv
8,66,47,19,reader_3_1.csv
8,58,51,7,Reader_3_2.csv
8,28,23,5,Reader_3_3.csv
8,28,23,5,Reader_3_4.csv
8,13,10,3,Reader_3_5.csv
8,19,15,4,Reader_3_6.csv
8,7,3,4,Reader_3_7.csv
9,36,29,7,Reader_1_1.csv
9,3,2,1,Reader_1_10.csv
9,6,6,0,Reader_1_11.csv
9,5,5,0,Reader_1_12.csv
9,2,2,0,Reader_1_2.csv
9,5,4,1,Reader_1_3.csv
9,0,0,0,Reader_1_4.csv
9,53,45,8,Reader_1_5.csv
9,2,2,0,Reader_1_6.csv
9,3,3,0,Reader_1_7.csv
9,2,1,1,Reader_1_8.csv
9,0,0,0,Reader_1_9.csv
9,11,8,3,Reader_2_1.csv
9,0,0,0,Reader_2_10.csv
9,16,9,7,Reader_2_11.csv
9,27,14,13,Reader_2_12.csv
9,0,0,0,Reader_2_2.csv
9,6,2,4,Reader_2_3.csv
9,2,0,2,Reader_2_4.csv
9,1,1,0,Reader_2_5.csv
9,2,2,0,Reader_2_6.csv
9,1,1,0,Reader_2_7.csv
9,0,0,0,Reader_2_8.csv
9,0,0,0,Reader_2_9.csv
9,75,50,25,reader_3_1.csv
9,62,54,8,Reader_3_2.csv
9,29,24,5,Reader_3_3.csv
9,29,24,5,Reader_3_4.csv
9,15,12,3,Reader_3_5.csv
9,19,14,5,Reader_3_6.csv
9,5,3,2,Reader_3_7.csv
10,33,24,9,Reader_1_1.csv
10,3,2,1,Reader_1_10.csv
10,4,4,0,Reader_1_11.csv
10,5,5,0,Reader_1_12.csv
10,2,2,0,Reader_1_2.csv
10,6,5,1,Reader_1_3.csv
10,0,0,0,Reader_1_4.csv
10,50,42,8,Reader_1_5.csv
10,2,2,0,Reader_1_6.csv
10,3,3,0,Reader_1_7.csv
10,1,0,1,Reader_1_8.csv
10,0,0,0,Reader_1_9.csv
10,11,8,3,Reader_2_1.csv
10,1,1,0,Reader_2_10.csv
10,15,7,8,Reader_2_11.csv
10,25,12,13,Reader_2_12.csv
10,0,0,0,Reader_2_2.csv
10,5,2,3,Reader_2_3.csv
10,3,0,3,Reader_2_4.csv
10,1,1,0,Reader_2_5.csv
10,2,2,0,Reader_2_6.csv
10,1,1,0,Reader_2_7.csv
10,1,1,0,Reader_2_8.csv
10,0,0,0,Reader_2_9.csv
10,81,55,26,reader_3_1.csv
10,57,49,8,Reader_3_2.csv
10,29,24,5,Reader_3_3.csv
10,29,24,5,Reader_3_4.csv
10,17,14,3,Reader_3_5.csv
10,18,12,6,Reader_3_6.csv
10,5,5,0,Reader_3_7.csv
11,28,19,9,Reader_1_1.csv
11,1,1,0,Reader_1_10.csv
11,6,3,3,Reader_1_11.csv
11,4,4,0,Reader_1_12.csv
11,2,2,0,Reader_1_2.csv
11,5,4,1,Reader_1_3.csv
11,0,0,0,Reader_1_4.csv
11,41,35,6,Reader_1_5.csv
11,2,2,0,Reader_1_6.csv
11,4,4,0,Reader_1_7.csv
11,1,0,1,Reader_1_8.csv
11,0,0,0,Reader_1_9.csv
11,12,10,2,Reader_2_1.csv
11,1,1,0,Reader_2_10.csv
11,15,7,8,Reader_2_11.csv
11,24,13,11,Reader_2_12.csv
11,0,0,0,Reader_2_2.csv
11,5,2,3,Reader_2_3.csv
11,3,0,3,Reader_2_4.csv
11,1,1,0,Reader_2_5.csv
11,2,2,0,Reader_2_6.csv
11,1,1,0,Reader_2_7.csv
11,1,1,0,Reader_2_8.csv
11,0,0,0,Reader_2_9.csv
11,80,54,26,reader_3_1.csv
11,59,52,7,Reader_3_2.csv
11,26,19,7,Reader_3_3.csv
11,26,19,7,Reader_3_4.csv
11,16,14,2,Reader_3_5.csv
11,17,12,5,Reader_3_6.csv
11,4,4,0,Reader_3_7.csv
12,29,20,9,Reader_1_1.csv
12,1,1,0,Reader_1_10.csv
12,7,4,3,Reader_1_11.csv
12,3,3,0,Reader_1_12.csv
12,3,2,1,Reader_1_2.csv
12,5,4,1,Reader_1_3.csv
12,0,0,0,Reader_1_4.csv
12,35,30,5,Reader_1_5.csv
12,3,3,0,Reader_1_6.csv
12,4,4,0,Reader_1_7.csv
12,1,0,1,Reader_1_8.csv
12,0,0,0,Reader_1_9.csv
12,10,8,2,Reader_2_1.csv
12,1,1,0,Reader_2_10.csv
12,12,5,7,Reader_2_11.csv
12,24,14,10,Reader_2_12.csv
12,0,0,0,Reader_2_2.csv
12,9,3,6,Reader_2_3.csv
12,2,0,2,Reader_2_4.csv
12,1,1,0,Reader_2_5.csv
12,1,1,0,Reader_2_6.csv
12,1,1,0,Reader_2_7.csv
12,1,1,0,Reader_2_8.csv
12,0,0,0,Reader_2_9.csv
12,79,55,24,reader_3_1.csv
12,59,52,7,Reader_3_2.csv
12,26,19,7,Reader_3_3.csv
12,26,19,7,Reader_3_4.csv
12,13,12,1,Reader_3_5.csv
12,18,12,6,Reader_3_6.csv
12,4,4,0,Reader_3_7.csv
13,27,18,9,Reader_1_1.csv
13,2,2,0,Reader_1_10.csv
13,7,4,3,Reader_1_11.csv
13,3,3,0,Reader_1_12.csv
13,3,2,1,Reader_1_2.csv
13,4,3,1,Reader_1_3.csv
13,0,0,0,Reader_1_4.csv
13,25,22,3,Reader_1_5.csv
13,3,3,0,Reader_1_6.csv
13,3,3,0,Reader_1_7.csv
13,0,0,0,Reader_1_8.csv
13,0,0,0,Reader_1_9.csv
13,10,8,2,Reader_2_1.csv
13,1,1,0,Reader_2_10.csv
13,11,5,6,Reader_2_11.csv
13,23,13,10,Reader_2_12.csv
13,0,0,0,Reader_2_2.csv
13,9,3,6,Reader_2_3.csv
13,2,0,2,Reader_2_4.csv
13,1,1,0,Reader_2_5.csv
13,1,1,0,Reader_2_6.csv
13,1,1,0,Reader_2_7.csv
13,1,1,0,Reader_2_8.csv
13,0,0,0,Reader_2_9.csv
13,74,52,22,reader_3_1.csv
13,65,56,9,Reader_3_2.csv
13,28,20,8,Reader_3_3.csv
13,28,20,8,Reader_3_4.csv
13,13,13,0,Reader_3_5.csv
13,17,12,5,Reader_3_6.csv
13,4,4,0,Reader_3_7.csv
14,25,16,9,Reader_1_1.csv
14,3,3,0,Reader_1_10.csv
14,7,4,3,Reader_1_11.csv
14,2,2,0,Reader_1_12.csv
14,1,0,1,Reader_1_2.csv
14,4,3,1,Reader_1_3.csv
14,0,0,0,Reader_1_4.csv
14,24,21,3,Reader_1_5.csv
14,4,4,0,Reader_1_6.csv
14,2,2,0,Reader_1_7.csv
14,0,0,0,Reader_1_8.csv
14,0,0,0,Reader_1_9.csv
14,8,8,0,Reader_2_1.csv
14,1,1,0,Reader_2_10.csv
14,9,5,4,Reader_2_11.csv
14,20,13,7,Reader_2_12.csv
14,0,0,0,Reader_2_2.csv
14,10,3,7,Reader_2_3.csv
14,2,0,2,Reader_2_4.csv
14,1,1,0,Reader_2_5.csv
14,1,1,0,Reader_2_6.csv
14,1,1,0,Reader_2_7.csv
14,1,1,0,Reader_2_8.csv
14,0,0,0,Reader_2_9.csv
14,76,57,19,reader_3_1.csv
14,65,55,10,Reader_3_2.csv
14,28,20,8,Reader_3_3.csv
14,28,20,8,Reader_3_4.csv
14,12,11,1,Reader_3_5.csv
14,22,17,5,Reader_3_6.csv
14,6,6,0,Reader_3_7.csv
15,26,16,10,Reader_1_1.csv
15,3,3,0,Reader_1_10.csv
15,8,5,3,Reader_1_11.csv
15,2,2,0,Reader_1_12.csv
15,2,1,1,Reader_1_2.csv
15,3,2,1,Reader_1_3.csv
15,0,0,0,Reader_1_4.csv
15,22,18,4,Reader_1_5.csv
15,3,3,0,Reader_1_6.csv
15,2,2,0,Reader_1_7.csv
15,0,0,0,Reader_1_8.csv
15,0,0,0,Reader_1_9.csv
15,9,9,0,Reader_2_1.csv
15,1,1,0,Reader_2_10.csv
15,5,1,4,Reader_2_11.csv
15,19,13,6,Reader_2_12.csv
15,1,1,0,Reader_2_2.csv
15,9,3,6,Reader_2_3.csv
15,2,0,2,Reader_2_4.csv
15,0,0,0,Reader_2_5.csv
15,0,0,0,Reader_2_6.csv
15,0,0,0,Reader_2_7.csv
15,1,1,0,Reader_2_8.csv
15,0,0,0,Reader_2_9.csv
15,78,57,21,reader_3_1.csv
15,63,52,11,Reader_3_2.csv
15,24,16,8,Reader_3_3.csv
15,24,16,8,Reader_3_4.csv
15,13,12,1,Reader_3_5.csv
15,16,12,4,Reader_3_6.csv
15,8,7,1,Reader_3_7.csv
16,26,14,12,Reader_1_1.csv
16,2,2,0,Reader_1_10.csv
16,8,5,3,Reader_1_11.csv
16,2,2,0,Reader_1_12.csv
16,3,2,1,Reader_1_2.csv
16,3,2,1,Reader_1_3.csv
16,0,0,0,Reader_1_4.csv
16,23,19,4,Reader_1_5.csv
16,3,3,0,Reader_1_6.csv
16,2,2,0,Reader_1_7.csv
16,0,0,0,Reader_1_8.csv
16,0,0,0,Reader_1_9.csv
16,10,9,1,Reader_2_1.csv
16,1,1,0,Reader_2_10.csv
16,5,1,4,Reader_2_11.csv
16,11,8,3,Reader_2_12.csv
16,1,1,0,Reader_2_2.csv
16,9,3,6,Reader_2_3.csv
16,2,1,1,Reader_2_4.csv
16,0,0,0,Reader_2_5.csv
16,1,1,0,Reader_2_6.csv
16,0,0,0,Reader_2_7.csv
16,1,1,0,Reader_2_8.csv
16,0,0,0,Reader_2_9.csv
16,79,59,20,reader_3_1.csv
16,61,50,11,Reader_3_2.csv
16,21,15,6,Reader_3_3.csv
16,21,15,6,Reader_3_4.csv
16,13,11,2,Reader_3_5.csv
16,19,13,6,Reader_3_6.csv
16,8,7,1,Reader_3_7.csv
17,27,15,12,Reader_1_1.csv
17,2,2,0,Reader_1_10.csv
17,9,5,4,Reader_1_11.csv
17,0,0,0,Reader_1_12.csv
17,3,2,1,Reader_1_2.csv
17,2,1,1,Reader_1_3.csv
17,0,0,0,Reader_1_4.csv
17,22,19,3,Reader_1_5.csv
17,2,2,0,Reader_1_6.csv
17,2,2,0,Reader_1_7.csv
17,0,0,0,Reader_1_8.csv
17,0,0,0,Reader_1_9.csv
17,9,8,1,Reader_2_1.csv
17,1,1,0,Reader_2_10.csv
17,4,1,3,Reader_2_11.csv
17,10,5,5,Reader_2_12.csv
17,1,1,0,Reader_2_2.csv
17,8,2,6,Reader_2_3.csv
17,2,1,1,Reader_2_4.csv
17,0,0,0,Reader_2_5.csv
17,1,1,0,Reader_2_6.csv
17,0,0,0,Reader_2_7.csv
17,1,1,0,Reader_2_8.csv
17,0,0,0,Reader_2_9.csv
17,74,59,15,reader_3_1.csv
17,60,50,10,Reader_3_2.csv
17,21,15,6,Reader_3_3.csv
17,21,15,6,Reader_3_4.csv
17,12,10,2,Reader_3_5.csv
17,22,17,5,Reader_3_6.csv
17,6,5,1,Reader_3_7.csv
18,29,17,12,Reader_1_1.csv
18,2,2,0,Reader_1_10.csv
18,9,5,4,Reader_1_11.csv
18,1,0,1,Reader_1_12.csv
18,4,3,1,Reader_1_2.csv
18,2,1,1,Reader_1_3.csv
18,0,0,0,Reader_1_4.csv
18,17,14,3,Reader_1_5.csv
18,2,2,0,Reader_1_6.csv
18,2,2,0,Reader_1_7.csv
18,0,0,0,Reader_1_8.csv
18,0,0,0,Reader_1_9.csv
18,12,11,1,Reader_2_1.csv
18,1,1,0,Reader_2_10.csv
18,2,1,1,Reader_2_11.csv
18,9,4,5,Reader_2_12.csv
18,1,1,0,Reader_2_2.csv
18,9,2,7,Reader_2_3.csv
18,2,2,0,Reader_2_4.csv
18,0,0,0,Reader_2_5.csv
18,1,1,0,Reader_2_6.csv
18,0,0,0,Reader_2_7.csv
18,0,0,0,Reader_2_8.csv
18,0,0,0,Reader_2_9.csv
18,71,58,13,reader_3_1.csv
18,57,49,8,Reader_3_2.csv
18,22,14,8,Reader_3_3.csv
18,22,14,8,Reader_3_4.csv
18,10,8,2,Reader_3_5.csv
18,21,17,4,Reader_3_6.csv
18,6,5,1,Reader_3_7.csv
19,33,21,12,Reader_1_1.csv
19,2,2,0,Reader_1_10.csv
19,8,7,1,Reader_1_11.csv
19,1,0,1,Reader_1_12.csv
19,8,5,3,Reader_1_2.csv
19,3,2,1,Reader_1_3.csv
19,1,0,1,Reader_1_4.csv
19,19,15,4,Reader_1_5.csv
19,2,2,0,Reader_1_6.csv
19,1,1,0,Reader_1_7.csv
19,0,0,0,Reader_1_8.csv
19,0,0,0,Reader_1_9.csv
19,10,9,1,Reader_2_1.csv
19,1,1,0,Reader_2_10.csv
19,1,0,1,Reader_2_11.csv
19,8,3,5,Reader_2_12.csv
19,1,1,0,Reader_2_2.csv
19,9,2,7,Reader_2_3.csv
19,3,3,0,Reader_2_4.csv
19,0,0,0,Reader_2_5.csv
19,1,1,0,Reader_2_6.csv
19,0,0,0,Reader_2_7.csv
19,0,0,0,Reader_2_8.csv
19,0,0,0,Reader_2_9.csv
19,68,57,11,reader_3_1.csv
19,60,49,11,Reader_3_2.csv
19,19,13,6,Reader_3_3.csv
19,19,13,6,Reader_3_4.csv
19,11,8,3,Reader_3_5.csv
19,20,16,4,Reader_3_6.csv
19,6,5,1,Reader_3_7.csv
20,34,22,12,Reader_1_1.csv
20,2,2,0,Reader_1_10.csv
20,9,7,2,Reader_1_11.csv
20,1,0,1,Reader_1_12.csv
20,9,7,2,Reader_1_2.csv
20,5,4,1,Reader_1_3.csv
20,1,0,1,Reader_1_4.csv
20,17,13,4,Reader_1_5.csv
20,1,1,0,Reader_1_6.csv
20,1,1,0,Reader_1_7.csv
20,0,0,0,Reader_1_8.csv
20,1,0,1,Reader_1_9.csv
20,11,9,2,Reader_2_1.csv
20,2,1,1,Reader_2_10.csv
20,1,0,1,Reader_2_11.csv
20,8,2,6,Reader_2_12.csv
20,1,1,0,Reader_2_2.csv
20,5,1,4,Reader_2_3.csv
20,3,3,0,Reader_2_4.csv
20,0,0,0,Reader_2_5.csv
20,2,2,0,Reader_2_6.csv
20,0,0,0,Reader_2_7.csv
20,0,0,0,Reader_2_8.csv
20,0,0,0,Reader_2_9.csv
20,64,55,9,reader_3_1.csv
20,54,44,10,Reader_3_2.csv
20,17,11,6,Reader_3_3.csv
20,17,11,6,Reader_3_4.csv
20,12,9,3,Reader_3_5.csv
20,23,20,3,Reader_3_6.csv
20,6,5,1,Reader_3_7.csv
21,36,24,12,Reader_1_1.csv
21,1,1,0,Reader_1_10.csv
21,11,9,2,Reader_1_11.csv
21,1,0,1,Reader_1_12.csv
21,21,18,3,Reader_1_2.csv
21,5,4,1,Reader_1_3.csv
21,1,0,1,Reader_1_4.csv
21,17,13,4,Reader_1_5.csv
21,2,2,0,Reader_1_6.csv
21,2,2,0,Reader_1_7.csv
21,1,1,0,Reader_1_8.csv
21,1,0,1,Reader_1_9.csv
21,11,9,2,Reader_2_1.csv
21,2,1,1,Reader_2_10.csv
21,1,1,0,Reader_2_11.csv
21,9,3,6,Reader_2_12.csv
21,1,1,0,Reader_2_2.csv
21,5,1,4,Reader_2_3.csv
21,4,4,0,Reader_2_4.csv
21,0,0,0,Reader_2_5.csv
21,2,2,0,Reader_2_6.csv
21,0,0,0,Reader_2_7.csv
21,0,0,0,Reader_2_8.csv
21,0,0,0,Reader_2_9.csv
21,65,54,11,reader_3_1.csv
21,49,40,9,Reader_3_2.csv
21,15,10,5,Reader_3_3.csv
21,15,10,5,Reader_3_4.csv
21,11,7,4,Reader_3_5.csv
21,25,22,3,Reader_3_6.csv
21,7,6,1,Reader_3_7.csv
22,35,24,11,Reader_1_1.csv
22,0,0,0,Reader_1_10.csv
22,12,10,2,Reader_1_11.csv
22,1,0,1,Reader_1_12.csv
22,29,26,3,Reader_1_2.csv
22,5,4,1,Reader_1_3.csv
22,1,0,1,Reader_1_4.csv
22,14,10,4,Reader_1_5.csv
22,1,1,0,Reader_1_6.csv
22,2,2,0,Reader_1_7.csv
22,1,1,0,Reader_1_8.csv
22,1,0,1,Reader_1_9.csv
22,11,9,2,Reader_2_1.csv
22,3,2,1,Reader_2_10.csv
22,1,1,0,Reader_2_11.csv
22,10,4,6,Reader_2_12.csv
22,1,1,0,Reader_2_2.csv
22,6,2,4,Reader_2_3.csv
22,4,4,0,Reader_2_4.csv
22,1,0,1,Reader_2_5.csv
22,2,2,0,Reader_2_6.csv
22,0,0,0,Reader_2_7.csv
22,0,0,0,Reader_2_8.csv
22,0,0,0,Reader_2_9.csv
22,59,49,10,reader_3_1.csv
22,45,38,7,Reader_3_2.csv
22,12,8,4,Reader_3_3.csv
22,12,8,4,Reader_3_4.csv
22,11,8,3,Reader_3_5.csv
